id,level,id_parent,label_en,label_de,label_fr,explanation_en
fossil,0,,Fossil Fuel,Fossile,Fossiles,
coal,1,fossil,Coal,Kohle,Charbon,
gas,1,fossil,Natural Gas,Erdgas,Gaz naturel,
oil,1,fossil,Oil Products,Erdölprodukte,Produits pétroliers,
kerosene,1,fossil,Kerosene,,,Kerosen for aircrafts
nuclear,0,,Nuclear fuel,Kernbrennstoffe,Combustibles nucléaires,
renewable,0,,Renewables,Erneuerbare ,Énergies renouvelables,
hydro,1,renewable,Hydopower,Wasserkraft,Centrales hydroélectriques,
dam,2,hydro,Hydro Dams,Speicherkraftwerke,Centrales d'accumulation,
ror,2,hydro,Run-off-river,Laufwasserkraft,Centrales au fil de l'eau,
biomass,1,,Biomass,Biomasse,Biomasse,
wood,2,biomass,Wood,Holz,Bois,
wood_forest,3,wood,Forest wood,Waldholz,Bois de forêt,
wood_landscape,3,wood,Wood from landscape,Flurholz,Bois récolte hors forêt,
wood_waste,3,wood,Waste wood,Restholz und Altholz,Bois usage et Sous-produits ligneux,
manure,2,biomass,Animal manure,Hofdünger,Engrais de ferme,
sewage,2,biomass,Fresh sewage sludge,Klärschlamm,Boues d’épuration,
green_waste,2,biomass,Green waste,,,
organic_waste,3,green_waste,Collected organic waste,"Organischer Anteil Kehricht, Grüngut Hausalt und Landschaft, Organische Abfälle aus Industrie und Gewerbe","Fractions organiques des déchests ménagers, Déchets verts des ménages et de l'entretien du paysage, biodéchets de l'industrie et de la gastronomie","Organic waste from household garbage, green waste collection and industrial organic waste"
agri_byproducts,3,green_waste,Agricultural by-products,Landwirtschaftlichen Nebenprodukte,Sous‐produits de la production végétale,
renewable_other,1,renewable,Other renewables,übrige Erneuerbare ,Autres énergies renouvelables,Renewables excluding biomass and hydropower
spv,2,renewable_other,Solar PV,Photovoltaik,Photovoltaïque,
spv_rooftop,3,spv,Rooftop solar PV,Aufdach Photovoltaik,Solaire en toiture,
spv_facade,3,spv,Facade solar PV,Fassade Photovoltaik,Façade solaire,
spv_mountain,3,spv,Mountain solar PV,Berg Photovoltaik,Solaire de montagne,
wind,2,renewable_other,Wind,Windenergie,Énergie éolienne,
wind_on,3,wind,Wind onshore,,,
wind_off,3,wind,Wind offshore,,,
geothermal,2,renewable_other,Geothermal,Geothermie,Géothermie,
waste,0,,Waste,,,
mixed,1,waste,Mixed waste,Müll und Industrieabfälle,,
electricity,0,,Electricity,Elektrizität,Électricité,
h2,0,,Hydrogen,Wasserstoff,Hydrogène,
methane,0,,Methane,,,
ethanol,0,,Ethanol,,,
biodiesel,0,,Biodiesel,,,
biogas,0,,Biogas,,,
saf,0,,Sustainable aviation fuel,,,Sustainable aviation fuel
liquids,0,,Liquid fuels,,,
